Thông tin chỉ tiêu tuyển sinh dự kiến theo từng ngành và theo từng phương thức năm 2025 tại các cơ sỏ của trường Đại học Ngoại Thương

- Mã trường: NTH (Trường Đại học Ngoại thương - Cơ sở phía Bắc);
- NTS (Trường Đại học Ngoại thương - Cơ sở II-TP. Hồ Chí Minh)

| Stt                         | Trình độ đào tạo            | Mã chương trình/ ngành xét tuyển   | Tên chương trình/ ngành xét tuyển                                                                                  | Chỉ tiêu (dự kiến)   | Tổ hợp xét tuyển 1   | Tổ hợp xét tuyển 1   | Tổ hợp xét tuyển 2   | Tổ hợp xét tuyển 2   | Tổ hợp xét tuyển 3   | Tổ hợp xét tuyển 3              | Tổ hợp xét tuyển 4   | Tổ hợp xét tuyển 4   | Áp dụng cho nhóm đối tượng tuyển sinh                                                                                                                                                                                                                                                                                                                                                                                     |
|-----------------------------|-----------------------------|------------------------------------|--------------------------------------------------------------------------------------------------------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|---------------------------------|----------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Stt                         | Trình độ đào tạo            | Mã chương trình/ ngành xét tuyển   | Tên chương trình/ ngành xét tuyển                                                                                  | Chỉ tiêu (dự kiến)   | Tổ hợp môn           | Môn chính            | Tổ hợp môn           | Môn chính            | Tổ hợp môn           | Môn chính                       | Tổ hợp môn           | Môn chính            | Áp dụng cho nhóm đối tượng tuyển sinh                                                                                                                                                                                                                                                                                                                                                                                     |
| I. Trụ sở chính Hà Nội      | I. Trụ sở chính Hà Nội      | I. Trụ sở chính Hà Nội             | I. Trụ sở chính Hà Nội                                                                                             |                      |                      |                      |                      |                      |                      |                                 |                      |                      |                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 3.2                         | ĐHCQ                        | KTQH1.1                            | Chương trình tiêu chuẩn Kinh tế quốc tế                                                                            | 220                  | A00                  |                      | A01                  |                      | D01;D03              |                                 | D07                  |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường -Sử dụng kết quả thi ĐGNL trong nước năm 2025 theo quy định của trường -Tuyển thẳng theo quy định                                                                                                                                                                                         |
| 3.3                         | ĐHCQ                        | KTQH1.2                            | Chương trình tiêu chuẩn Kinh tế và Phát triển quốc tế                                                              | 220                  | A00                  |                      | A01                  |                      | D01;D03              |                                 | D07                  |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường -Sử dụng kết quả thi ĐGNL trong nước năm 2025 theo quy định của trường -Tuyển thẳng theo quy định                                                                                                                                                                                         |
| 4                           | Ngành Kinh doanh quốc tế    |                                    |                                                                                                                    |                      |                      |                      |                      |                      |                      |                                 |                      |                      |                                                                                                                                                                                                                                                                                                                                                                                                                           |
|                             | ĐHCQ                        | KDQH4.1                            | Chương trình tiên tiến i-Hons hợp tác với Đại học Queensland về Kinh doanh quốc tế và Phân tích dữ liệu kinh doanh | 50                   |                      |                      | A01                  |                      | D01                  |                                 | D07                  |                      | -Kết hợp kết quả học tập THPT và chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp kết quả thi tốt nghiệp THPT năm 2025 và  chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp chứng chỉ năng lực quốc tế và chứng chỉ tiếng Anh quốc tế theo quy định của trường                                                                                                                                  |
| 4.1                         | ĐHCQ                        | KDQH2.1                            | Chương trình CLC Kinh doanh quốc tế                                                                                | 80                   |                      |                      | A01                  |                      | D01                  |                                 | D07                  |                      | -Kết hợp kết quả học tập THPT và chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp kết quả thi tốt nghiệp THPT năm 2025 và  chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp chứng chỉ năng lực quốc tế và chứng chỉ tiếng Anh quốc tế theo quy định của trường                                                                                                                                  |
| 4.2                         | ĐHCQ                        | KDQH2.3                            | Chương trình ĐHNNQT Kinh doanh quốc tế theo mô hình tiên tiến Nhật Bản                                             | 70                   | A00                  |                      | A01                  |                      | D01;D06              |                                 | D07                  |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường '-Kết hợp kết quả học tập THPT và chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp kết quả thi tốt nghiệp THPT năm 2025 và  chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp chứng chỉ năng lực quốc tế và chứng chỉ tiếng Anh quốc tế theo quy định của trường |
| 4.3                         | ĐHCQ                        | KDQH2.2                            | Chương trình ĐHNNQT Logistics và Quản lý chuỗi cung ứng                                                            | 50                   | A00                  |                      | A01                  |                      | D01                  |                                 | D07                  |                      | -Kết hợp kết quả học tập THPT và chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp kết quả thi tốt nghiệp THPT năm 2025 và  chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp chứng chỉ năng lực quốc tế và chứng chỉ tiếng Anh quốc tế theo quy định của trường                                                                                                                                  |
| 4.4                         | ĐHCQ                        | KDQH2.4                            | Chương trình ĐHNNQT Kinh doanh số                                                                                  | 60                   | A00                  |                      | A01                  |                      | D01                  |                                 | D07                  |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường '-Kết hợp kết quả học tập THPT và chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp kết quả thi tốt nghiệp THPT năm 2025 và  chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp chứng chỉ năng lực quốc tế và chứng chỉ tiếng Anh quốc tế theo quy định của trường |
| 4.5                         | ĐHCQ                        | KDQH1.1                            | Chương trình tiêu chuẩn Kinh doanh quốc tế                                                                         | 110                  | A00                  |                      | A01                  |                      | D01                  |                                 | D07                  |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường -Sử dụng kết quả thi ĐGNL trong nước năm 2025 theo quy định của trường -Tuyển thẳng theo quy định                                                                                                                                                                                         |
| 5                           | Ngành Quản trị kinh doanh   | Ngành Quản trị kinh doanh          |                                                                                                                    |                      |                      |                      |                      |                      |                      |                                 |                      |                      |                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 5.1                         | ĐHCQ                        | QTKH4.1                            | Chương trình tiên tiến Quản trị kinh doanh quốc tế                                                                 | 80                   |                      |                      | A01                  |                      | D01                  |                                 | D07                  |                      | -Kết hợp kết quả học tập THPT và chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp kết quả thi tốt nghiệp THPT năm 2025 và  chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp chứng chỉ năng lực quốc tế và chứng chỉ tiếng Anh quốc tế theo quy định của trường                                                                                                                                  |
| 5.2                         | ĐHCQ                        | QTKH2.1                            | Chương trình CLC Quản trị kinh doanh                                                                               | 120                  |                      |                      | A01                  |                      | D01                  |                                 | D07                  |                      | -Kết hợp kết quả học tập THPT và chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp kết quả thi tốt nghiệp THPT năm 2025 và  chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp chứng chỉ năng lực quốc tế và chứng chỉ tiếng Anh quốc tế theo quy định của trường                                                                                                                                  |
| 5.3                         | ĐHCQ                        | QTKH1.1                            | Chương trình tiêu chuẩn Quản trị kinh doanh                                                                        | 140                  | A00                  |                      | A01                  |                      | D01                  |                                 | D07                  |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường -Sử dụng kết quả thi ĐGNL trong nước năm 2025 theo quy định của trường -Tuyển thẳng theo quy định                                                                                                                                                                                         |
| 6                           | Ngành Quản trị Khách sạn    | Ngành Quản trị Khách sạn           |                                                                                                                    |                      |                      |                      |                      |                      |                      |                                 |                      |                      |                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 6.1                         | ĐHCQ                        | QKSH2.1                            | Chương trình ĐHNNQT Quản trị khách sạn                                                                             | 50                   | A00                  |                      | A01                  |                      | D01                  |                                 | D07                  |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường '-Kết hợp kết quả học tập THPT và chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp kết quả thi tốt nghiệp THPT năm 2025 và  chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp chứng chỉ năng lực quốc tế và chứng chỉ tiếng Anh quốc tế theo quy định của trường |
| 7                           | Ngành Marketing             | Ngành Marketing                    |                                                                                                                    |                      |                      |                      |                      |                      |                      |                                 |                      |                      |                                                                                                                                                                                                                                                                                                                                                                                                                           |
